# T[K]   Fvib[eV/atom]
20  0.71034104139E-01
10  0.71035237065E-01
30  0.71027415532E-01
60  0.70879882360E-01
50  0.70960368571E-01
70  0.71006291061E-01
40  0.71006291061E-01
90  0.70350228986E-01
80  0.70350228986E-01
100  0.70056284134E-01
130  0.69264942334E-01
120  0.69264942334E-01
110  0.69264942334E-01
150  0.67530767724E-01
140  0.68184015929E-01
160  0.68184015929E-01
170  0.65112341082E-01
180  0.65112341082E-01
190  0.64153343509E-01
220  0.60824607298E-01
230  0.59567111918E-01
200  0.63118581950E-01
210  0.62008733765E-01
250  0.56836014843E-01
240  0.58237233568E-01
260  0.58237233568E-01
290  0.50539743070E-01
270  0.53823915598E-01
280  0.53823915598E-01
300  0.48798463905E-01
310  0.45123169068E-01
320  0.45123169068E-01
350  0.39144998673E-01
330  0.41198301680E-01
340  0.41198301680E-01
370  0.34861930536E-01
380  0.32634213269E-01
360  0.37032530035E-01
390  0.30350369041E-01
410  0.25618149505E-01
400  0.28011366011E-01
420  0.28011366011E-01
430  0.20672743246E-01
440  0.18122330445E-01
450  0.15521258582E-01
460  0.12870360762E-01
470  0.12870360762E-01
480  0.74223127989E-02
510  0.17844303920E-02
500  0.17844303920E-02
490  0.46267233714E-02
530  
550  -0.40373631359E-02
540  -0.40373631359E-02
520  -0.40373631359E-02
560  -0.16210493804E-01
570  -0.16210493804E-01
580  -0.22551437792E-01
590  -0.25783360227E-01
600  -0.29055473911E-01
610  -0.32367215271E-01
620  -0.35718034757E-01
640  -0.42534777376E-01
630  -0.42534777376E-01
660  -0.49501569365E-01
650  -0.45999667613E-01
670  -0.53039996835E-01
680  -0.56614475795E-01
710  -0.67549645341E-01
700  -0.63869746957E-01
690  -0.63869746957E-01
730  -0.75011810084E-01
740  -0.78793242823E-01
720  -0.71263806915E-01
770  -0.90334135569E-01
750  -0.90334135569E-01
760  -0.90334135569E-01
790  -0.98188062500E-01
800  -0.10216191996E+00
780  -0.10216191996E+00
820  -0.11020165890E+00
810  -0.10616656719E+00
830  -0.11426685710E+00
860  -0.12663981506E+00
870  -0.13082219709E+00
850  -0.12248625597E+00
840  -0.11836183083E+00
900  -0.14353926372E+00
890  -0.13927221710E+00
880  -0.13927221710E+00
920  -0.15215599520E+00
910  -0.14783395021E+00
930  -0.15650512276E+00
940  -0.16088106225E+00
960  -0.16971232013E+00
950  -0.16528354820E+00
970  -0.17416712244E+00
980  -0.17864770427E+00
990  -0.18315381940E+00
1000  -0.18768522609E+00
