# T[K]   Fvib[eV/atom]
10  
20  0.69261586491E-01
30  0.69261586491E-01
40  0.69108351853E-01
60  0.69108351853E-01
50  0.69190877158E-01
70  0.68982584268E-01
90  0.68571688439E-01
80  0.68571688439E-01
130  0.66962945396E-01
120  0.67473072378E-01
110  0.68274332981E-01
100  0.68274332981E-01
160  0.64973234888E-01
140  0.66377020241E-01
150  0.66377020241E-01
170  0.64154336168E-01
190  0.62282699524E-01
180  0.63257381304E-01
210  0.60102536711E-01
200  0.61230842534E-01
220  0.58898643986E-01
230  
250  0.54843468375E-01
240  0.56268038065E-01
280  0.50146409177E-01
270  0.48443532111E-01
290  0.48443532111E-01
260  0.53347560721E-01
310  0.44839094451E-01
300  0.44839094451E-01
320  0.42939877940E-01
340  0.36867988026E-01
350  0.36867988026E-01
330  0.40977536050E-01
380  0.30257866304E-01
360  0.32519263822E-01
370  0.32519263822E-01
390  0.27939813845E-01
400  0.25566102466E-01
410  0.23137703674E-01
440  0.15533732720E-01
430  0.18120607918E-01
420  0.20655564543E-01
450  0.20655564543E-01
480  0.46842102104E-02
460  0.10207705013E-01
470  0.74702344489E-02
500  -0.10303761164E-02
490  0.18504183351E-02
510  -0.39574284860E-02
520  -0.69300139403E-02
530  
540  -0.13008980426E-01
560  -0.19261851533E-01
570  -0.22451883565E-01
550  -0.16114005729E-01
610  -0.35621753592E-01
600  -0.32268998019E-01
590  -0.28956050979E-01
580  -0.25683484008E-01
620  -0.39013760609E-01
630  -0.42444475957E-01
640  -0.45913370047E-01
670  -0.56544022652E-01
660  -0.56544022652E-01
650  -0.49419926376E-01
700  -0.67500427970E-01
680  -0.60160591291E-01
690  -0.63812878775E-01
730  -0.78770233779E-01
720  -0.74979536393E-01
710  -0.71222792497E-01
740  -0.82594468547E-01
750  -0.82594468547E-01
760  -0.90341932799E-01
770  -0.94264376207E-01
790  -0.10220478538E+00
780  -0.98218784283E-01
800  -0.10622201596E+00
820  -0.11434875036E+00
830  -0.11434875036E+00
810  -0.11027012032E+00
840  -0.12259623185E+00
860  -0.12676442316E+00
850  -0.12676442316E+00
870  -0.13518810758E+00
880  -0.13944298048E+00
890  -0.14372613747E+00
930  -0.15237613066E+00
910  -0.14803728382E+00
900  -0.14803728382E+00
920  -0.15674239475E+00
960  -0.17447614933E+00
940  -0.16555606930E+00
950  -0.17000294029E+00
980  -0.18350055792E+00
990  -0.18805125753E+00
970  -0.18805125753E+00
1000  -0.19262729504E+00
